"","Var1","mean","sd","point"
"1","RSO",1.26000571938033,0.048290365587524,0
"1.1","RSO",1.20255212368334,0.0630927600373521,5
"1.2","RSO",1.14682152374396,0.0950595465828845,10
"1.3","RSO",1.08737674644131,0.130190137082553,15
"1.4","RSO",1.04437716007998,0.164735123528182,20
"1.5","RSO",0.987687422420209,0.184536707968989,25
"1.6","RSO",0.931033780505536,0.220850095730023,30
"1.7","RSO",0.867231406651587,0.259448617929812,35
"1.8","RSO",0.822693618164969,0.272707027923656,40
"1.9","RSO",0.779642943986295,0.268463784311162,45
"1.10","RSO",0.711900059114021,0.279135092931345,50
"1.11","RSO",0.634294358184806,0.261474739070253,55
"1.12","RSO",0.590442469686259,0.264207632515808,60
"1.13","RSO",0.549975289946202,0.271710017580838,65
"1.14","RSO",0.471246636755425,0.296079442332994,70
"1.15","RSO",0.448190003598087,0.286032596945166,75
"1.16","RSO",0.443467732626205,0.282677586716798,80
"1.17","RSO",0.404935135669358,0.282832042829449,85
"1.18","RSO",0.396748807921987,0.281521137350453,90
"1.19","RSO",0.340894980489169,0.303386375739057,95
"1.20","RSO",0.339962598383747,0.301303835197949,100
"1.21","RSO",0.309326102042935,0.30542202694498,105
"1.22","RSO",0.301898737335588,0.293880439622142,110
"1.23","RSO",0.265722038341798,0.287828649148399,115
"1.24","RSO",0.238316810766723,0.256125210176762,120
"2","EGO",1.26000571938033,0.048290365587524,0
"2.1","EGO",1.20966660554706,0.0450916902340188,5
"2.2","EGO",1.15507466483575,0.0680121513337307,10
"2.3","EGO",1.11022611865298,0.0847830611139567,15
"2.4","EGO",1.04782105127719,0.133933139264259,20
"2.5","EGO",0.967734684074688,0.164653590162214,25
"2.6","EGO",0.923600181333998,0.156725697460569,30
"2.7","EGO",0.889642238427405,0.149547028036825,35
"2.8","EGO",0.866957774560611,0.152219234293649,40
"2.9","EGO",0.852052444314807,0.151969386932554,45
"2.10","EGO",0.850965531453936,0.15074112044002,50
"2.11","EGO",0.842913805291107,0.146669347637271,55
"2.12","EGO",0.810019176397517,0.141489958434229,60
"2.13","EGO",0.787963135613731,0.132943983789372,65
"2.14","EGO",0.765950567440732,0.132202462220812,70
"2.15","EGO",0.744494132800644,0.113015219268518,75
"2.16","EGO",0.744422489570057,0.112749958436799,80
"2.17","EGO",0.744076814423513,0.111474158471487,85
"2.18","EGO",0.738710234519519,0.11093893028783,90
"2.19","EGO",0.738531270967015,0.110268762541058,95
"2.20","EGO",0.723140196383915,0.108948207555742,100
"2.21","EGO",0.723140196383915,0.108948207555742,105
"2.22","EGO",0.723140196383915,0.108948207555742,110
"2.23","EGO",0.721655350901572,0.103155333619448,115
"2.24","EGO",0.721655350901572,0.103155333619448,120
"3","TREGO",1.26000571938033,0.048290365587524,0
"3.1","TREGO",1.1861740174488,0.0760155746026131,5
"3.2","TREGO",1.1439016304437,0.0999396056911224,10
"3.3","TREGO",1.09971970783458,0.129177104825963,15
"3.4","TREGO",1.05509296490608,0.144447291750886,20
"3.5","TREGO",0.979912950008644,0.175722870217999,25
"3.6","TREGO",0.90952434902193,0.190238155033441,30
"3.7","TREGO",0.874978153675849,0.205255703752217,35
"3.8","TREGO",0.83608322952813,0.20154739737767,40
"3.9","TREGO",0.796577376658831,0.222516546398302,45
"3.10","TREGO",0.760751919119006,0.198051972536451,50
"3.11","TREGO",0.728634926677925,0.179077895128738,55
"3.12","TREGO",0.715179238580364,0.170240814892467,60
"3.13","TREGO",0.706870739118608,0.159686695806182,65
"3.14","TREGO",0.698108482087573,0.154193232972109,70
"3.15","TREGO",0.673096397373093,0.153840523917866,75
"3.16","TREGO",0.659434926300266,0.139045148748078,80
"3.17","TREGO",0.643190544378682,0.136340406052716,85
"3.18","TREGO",0.630034067293908,0.128217413516483,90
"3.19","TREGO",0.617522563527926,0.117158984100141,95
"3.20","TREGO",0.6152512698985,0.116896017686715,100
"3.21","TREGO",0.607589465115097,0.114770648749337,105
"3.22","TREGO",0.606461841465109,0.111956219711079,110
"3.23","TREGO",0.594308310549924,0.10256522152725,115
"3.24","TREGO",0.587672935016085,0.0898631670254222,120
