"","Var1","mean","sd","point"
"1","RSO",0.553987592272372,0.356511850582891,0
"1.1","RSO",-0.0458075085274468,0.513281040863218,5
"1.2","RSO",-2.01062648015013,1.01900791662068,10
"1.3","RSO",-3.79098452112823,1.27784649485819,15
"1.4","RSO",-4.23350658326468,1.26523585221971,20
"1.5","RSO",-4.33798596722445,1.10510855048269,25
"1.6","RSO",-4.37811669158002,1.09760993331907,30
"1.7","RSO",-4.42881690562782,1.03535721957903,35
"1.8","RSO",-4.52449421011693,0.964151133648345,40
"1.9","RSO",-4.58318146604748,0.88822312546651,45
"1.10","RSO",-4.67432375851921,0.842843282999359,50
"1.11","RSO",-4.74591729268508,0.83834558738926,55
"1.12","RSO",-4.75965275104141,0.844575382219359,60
"2","EGO",0.553987592272372,0.356511850582891,0
"2.1","EGO",-0.00269445355605102,0.434285601052498,5
"2.2","EGO",-1.19479463824748,0.55674107030341,10
"2.3","EGO",-2.29210003660966,0.703289808990756,15
"2.4","EGO",-3.07497274542959,0.499221881508461,20
"2.5","EGO",-3.44396698399522,0.562181876020849,25
"2.6","EGO",-3.89902387053137,0.657791842513974,30
"2.7","EGO",-4.12667501371177,0.686418604771112,35
"2.8","EGO",-4.15412261356092,0.668127342672606,40
"2.9","EGO",-4.32657669552285,0.662497291064057,45
"2.10","EGO",-4.41817963533904,0.657657994537865,50
"2.11","EGO",-4.54271476823754,0.603380551391028,55
"2.12","EGO",-4.54271476823754,0.603380551391028,60
"3","TREGO",0.553987592272372,0.356511850582891,0
"3.1","TREGO",-0.0403131668483865,0.688314134887641,5
"3.2","TREGO",-1.5129114244847,0.822728282681531,10
"3.3","TREGO",-2.81857143288508,1.00909504792808,15
"3.4","TREGO",-3.77805496157922,1.12651146654479,20
"3.5","TREGO",-4.37089582525817,1.10318183379075,25
"3.6","TREGO",-5.04661435064702,1.23287532392556,30
"3.7","TREGO",-5.63695247475015,0.848283473192214,35
"3.8","TREGO",-6.05269854004979,0.455415324448398,40
"3.9","TREGO",-6.24136527743057,0.338217880256402,45
"3.10","TREGO",-6.25731149441025,0.333785686835881,50
"3.11","TREGO",-6.29416717370505,0.332754090942378,55
"3.12","TREGO",-6.29559329413047,0.333178345570852,60
