"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"1" "EGO" 1 0.33398265 0.33398265 0.32705625 0.32705625 0.3060606 0.30054115 0.3004329 0.3004329 0.3004329 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848 0.2984848
"2" "RSO" 1 0.33398265 0.330671702997623 0.321787786980211 0.322047447802317 0.321324364083404 0.302023488283371 0.302379698097454 0.30217200220095 0.299869486224854 0.289808248814527 0.289699752284313 0.290169630864734 0.290151556637935 0.289734212052874 0.258431824064776 0.258411811091666 0.258546248700432 0.257839699768423 0.257934950272747
"3" "TREGO" 1 0.33398265 0.3020563 0.295671 0.295671 0.28950215 0.28950215 0.28950215 0.28950215 0.28950215 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775
"4" "EGO" 2 0.3581169 0.34902595 0.34902595 0.34718615 0.32943725 0.32943725 0.31709955 0.31709955 0.29383115 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372 0.2794372
"5" "RSO" 2 0.3581169 0.338355702997623 0.309558336980211 0.307437047802317 0.300328714083405 0.290876338283371 0.291232548097454 0.29102485220095 0.291536186224854 0.300414348814527 0.300305852284313 0.300126330864734 0.300108256637935 0.299690912052874 0.291765124064776 0.291745111091666 0.291879548700432 0.291172999768423 0.291268250272747
"6" "TREGO" 2 0.3581169 0.35313855 0.33690475 0.33214285 0.32445885 0.32445885 0.32445885 0.3220779 0.31060605 0.3599567 0.3508658 0.3508658 0.3508658 0.3073593 0.3073593 0.3073593 0.3073593 0.3073593 0.3038961
"7" "EGO" 3 0.3535714 0.33668835 0.33668835 0.3257576 0.2905844 0.2905844 0.2905844 0.2905844 0.2905844 0.2952381 0.2952381 0.2952381 0.2952381 0.2952381 0.2809524 0.2809524 0.2809524 0.2809524 0.2809524
"8" "RSO" 3 0.3535714 0.334026702997623 0.324709836980211 0.305272547802317 0.282904414083404 0.282975838283371 0.281383998097454 0.27857890220095 0.279090236224854 0.275738948814527 0.275630452284313 0.276100330864734 0.276082256637935 0.275664912052874 0.276180724064776 0.276160711091666 0.276295148700432 0.275588599768423 0.275683850272747
"9" "TREGO" 3 0.3535714 0.3008658 0.28679655 0.28679655 0.28679655 0.282684 0.282684 0.282684 0.282684 0.2904762 0.2904762 0.2904762 0.2904762 0.2898268 0.2898268 0.2898268 0.2898268 0.2898268 0.2798701
"10" "EGO" 4 0.374026 0.374026 0.33376625 0.33376625 0.33376625 0.3314935 0.3314935 0.3309524 0.3309524 0.2887446 0.2887446 0.2887446 0.2887446 0.2887446 0.2850649 0.2850649 0.2850649 0.2850649 0.2850649
"11" "RSO" 4 0.374026 0.362922852997623 0.344839736980211 0.328216247802317 0.327493164083405 0.313603588283371 0.308764998097454 0.30855730220095 0.309068636224854 0.285912148814527 0.285803652284313 0.282810330864734 0.277813856637935 0.277396512052874 0.277912324064776 0.277892311091666 0.278026748700432 0.277320199768423 0.277415450272747
"12" "TREGO" 4 0.374026 0.37132035 0.37132035 0.3459957 0.33322515 0.3055195 0.30075755 0.29848485 0.2914502 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939
"13" "EGO" 5 0.3616883 0.35487015 0.35064935 0.3369048 0.31991345 0.28906925 0.28906925 0.28906925 0.28906925 0.2937229 0.2937229 0.2937229 0.2937229 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939 0.2893939
"14" "RSO" 5 0.3616883 0.342468252997623 0.339536686980211 0.330164347802317 0.327926114083404 0.327997538283371 0.314068048097454 0.29946635220095 0.295756936224854 0.308422948814527 0.306366452284313 0.290386030864734 0.290367956637935 0.281725512052874 0.282241324064776 0.282221311091666 0.282355748700432 0.281649199768423 0.281744450272748
"15" "TREGO" 5 0.3616883 0.3547619 0.35292205 0.3505411 0.33647185 0.32694805 0.32694805 0.32435065 0.30800865 0.3030303 0.3030303 0.3030303 0.2900433 0.2900433 0.2841991 0.2841991 0.2841991 0.2841991 0.2841991
"16" "EGO" 6 0.3284632 0.3284632 0.3284632 0.3284632 0.3284632 0.32651515 0.32402595 0.32402595 0.31071425 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2753247
"17" "RSO" 6 0.3284632 0.309351352997623 0.309233636980211 0.301376447802317 0.292428214083404 0.290984488283371 0.285821248097454 0.28561355220095 0.286124886224854 0.275522548814527 0.275414052284313 0.275883930864734 0.275865856637935 0.275448512052874 0.275964324064776 0.275944311091666 0.276078748700432 0.275372199768423 0.275467450272747
"18" "TREGO" 6 0.3284632 0.3284632 0.31006495 0.28474025 0.28474025 0.28474025 0.28474025 0.28474025 0.28474025 0.2891775 0.2891775 0.2891775 0.2746753 0.2746753 0.2746753 0.2746753 0.2746753 0.2746753 0.2746753
"19" "EGO" 7 0.3453463 0.34426405 0.31439395 0.30119045 0.30119045 0.30119045 0.30119045 0.30119045 0.29632035 0.3136364 0.3136364 0.3127706 0.3127706 0.3127706 0.3030303 0.3030303 0.2980519 0.2980519 0.2980519
"20" "RSO" 7 0.3453463 0.337381702997623 0.311506386980211 0.300727097802317 0.292536464083405 0.292607888283371 0.292964098097454 0.29275640220095 0.293267736224854 0.290024648814527 0.289916152284313 0.290386030864734 0.290367956637935 0.289950612052874 0.290466424064776 0.290230011091666 0.290364448700432 0.289657899768423 0.289753150272748
"21" "TREGO" 7 0.3453463 0.3448052 0.33777055 0.3112554 0.3112554 0.29469695 0.29469695 0.29469695 0.29036795 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978 0.2844156 0.2844156 0.2844156 0.2844156
"22" "EGO" 8 0.36536795 0.36266235 0.3386364 0.336039 0.336039 0.336039 0.336039 0.336039 0.29512985 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069
"23" "RSO" 8 0.36536795 0.361515902997623 0.360857086980211 0.361008497802317 0.344701014083404 0.334923938283371 0.296643748097454 0.29481270220095 0.293592386224854 0.290024648814527 0.289916152284313 0.290386030864734 0.281709956637935 0.281292612052874 0.281808424064776 0.281788411091666 0.281922848700432 0.281216299768423 0.281311550272748
"24" "TREGO" 8 0.36536795 0.36536795 0.3582251 0.3548701 0.3297619 0.3297619 0.30800865 0.2962121 0.2962121 0.2987013 0.2987013 0.2987013 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2898268 0.2744589
"25" "EGO" 9 0.34069265 0.3134199 0.3034632 0.3034632 0.2943723 0.2943723 0.2943723 0.2943723 0.2896104 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342 0.2991342
"26" "RSO" 9 0.34069265 0.337381702997623 0.337263986980211 0.333086447802317 0.332363364083404 0.332434788283371 0.332790998097454 0.33258330220095 0.324436586224854 0.336345048814527 0.286669452284313 0.281728030864734 0.281709956637935 0.276747212052874 0.277263024064776 0.277243011091666 0.277377448700432 0.276670899768423 0.276766150272747
"27" "TREGO" 9 0.34069265 0.3361472 0.3361472 0.3284632 0.3195887 0.3195887 0.3195887 0.3134199 0.2967532 0.2941558 0.2800866 0.2800866 0.2800866 0.2753247 0.2753247 0.2753247 0.2753247 0.2753247 0.2753247
"28" "EGO" 10 0.37380955 0.37175325 0.3668831 0.3470779 0.33571425 0.30422075 0.2995671 0.2995671 0.2995671 0.3082251 0.3082251 0.3082251 0.3082251 0.3028139 0.3028139 0.3028139 0.2896104 0.2896104 0.2896104
